dup_hash,n_labels,labels,occurrences
5131220686970814,2,Benign|Infilteration,2
9930751852796575,2,Benign|Infilteration,2
12178702071280804,2,Benign|Infilteration,2
18607255278611406,2,Benign|Infilteration,2
22543000791698903,2,Benign|Infilteration,2
28124046104178304,2,Benign|Infilteration,2
30696817088668496,2,Benign|Infilteration,2
31706933288386708,2,Benign|Infilteration,2
40960481716599039,2,Benign|Infilteration,2
41831658386044180,2,Benign|Infilteration,2
42864378424612192,2,Benign|Infilteration,2
43151061239030276,2,Benign|Infilteration,2
43207279099074305,2,Benign|Infilteration,2
44724376184482189,2,Benign|Infilteration,2
56911836216653986,2,Benign|Infilteration,2
56963816955167203,2,Benign|Infilteration,2
58450032284004792,2,Benign|Infilteration,2
61597748509504632,2,Benign|Infilteration,2
65154953468237398,2,Benign|Infilteration,2
65722236863306361,2,Benign|Infilteration,2
68927018927632017,2,Benign|Infilteration,2
70203357777496646,2,Benign|Infilteration,2
74635750160193246,2,Benign|Infilteration,2
77993154514293541,2,Benign|Infilteration,2
78148158098237506,2,Benign|Infilteration,2
78630511531349926,2,Benign|Infilteration,2
91899793602059118,2,Benign|Infilteration,2
93793632216982267,2,Benign|Infilteration,2
94865574549254207,2,Benign|Infilteration,2
96380635730998496,2,Benign|Infilteration,2
96393540534617687,2,Benign|Infilteration,2
98092310629919746,2,Benign|Infilteration,2
99454077815825571,2,Benign|Infilteration,2
99592111639130568,2,Benign|Infilteration,2
99841171306456380,2,Benign|Infilteration,2
101995030513988462,2,Benign|Infilteration,2
109675604320678265,2,Benign|Infilteration,2
114825179847328667,2,Benign|Infilteration,2
118704506673735499,2,Benign|Infilteration,2
119728570312996519,2,Benign|Infilteration,2
125741609181339402,2,Benign|Infilteration,2
125997922521062780,2,Benign|Infilteration,2
129718303009693036,2,Benign|Infilteration,2
138950470267722420,2,Benign|Infilteration,2
139352061216567103,2,Benign|Infilteration,2
139746008310204685,2,Benign|Infilteration,2
142754946584053194,2,Benign|Infilteration,2
142931136354752103,2,Benign|Infilteration,2
148051588354015802,2,Benign|Infilteration,2
153046306631916866,2,Benign|Infilteration,2
153531297944712176,2,Benign|Infilteration,2
153544407249593941,2,Benign|Infilteration,2
160173512080275402,2,Benign|Infilteration,2
162659062956278441,2,Benign|Infilteration,2
163894171775931617,2,Benign|Infilteration,2
164198326312887937,2,Benign|Infilteration,2
164776471923624240,2,Benign|Infilteration,2
169251797410699127,2,Benign|Infilteration,2
169394034305154762,2,Benign|Infilteration,2
171101998873752679,2,Benign|Infilteration,2
172694679943839197,2,Benign|Infilteration,2
182426017606730684,2,Benign|Infilteration,2
183303517696059253,2,Benign|Infilteration,2
183398067746156538,2,Benign|Infilteration,2
189876871922368512,2,Benign|Infilteration,2
192217176766240533,2,Benign|Infilteration,2
192777492538484713,2,Benign|Infilteration,2
195743079926547301,2,Benign|Infilteration,2
198097380958339831,2,Benign|Infilteration,2
212848503551566073,2,Benign|Infilteration,2
222480576352326670,2,Benign|Infilteration,2
224772352874941271,2,Benign|Infilteration,2
226572553133888363,2,Benign|Infilteration,2
229292130421512148,2,Benign|Infilteration,2
230324158100379780,2,Benign|Infilteration,2
231047613984299566,2,Benign|Infilteration,2
231578107507175809,2,Benign|Infilteration,2
238305533603612427,2,Benign|Infilteration,2
240259746396378983,2,Benign|Infilteration,2
241995461312903856,2,Benign|Infilteration,2
251757148586083328,2,Benign|Infilteration,2
252785287181508243,2,Benign|Infilteration,2
254503061792475451,2,Benign|Infilteration,2
256352169623634963,2,Benign|Infilteration,2
258287109881618623,2,Benign|Infilteration,2
259534515687787690,2,Benign|Infilteration,2
265268936759666428,2,Benign|Infilteration,2
268102843484643330,2,Benign|Infilteration,2
271219744241765638,2,Benign|Infilteration,2
274337657280860472,2,Benign|Infilteration,2
277092571935763916,2,Benign|Infilteration,2
277132767576052948,2,Benign|Infilteration,2
278420468261372427,2,Benign|Infilteration,2
287789301854562945,2,Benign|Infilteration,2
294283124614219851,2,Benign|Infilteration,2
295170537551268739,2,Benign|Infilteration,2
296477749819325575,2,Benign|Infilteration,2
304745006347397769,2,Benign|Infilteration,2
312256352605672579,2,Benign|Infilteration,2
315159820498100601,2,Benign|Infilteration,2
318813622883789820,2,Benign|Infilteration,2
326929831248041084,2,Benign|Infilteration,2
333692332673038000,2,Benign|Infilteration,2
335012168658739677,2,Benign|Infilteration,2
342247284696321422,2,Benign|Infilteration,2
344809745826078273,2,Benign|Infilteration,2
345428313146791322,2,Benign|Infilteration,2
352805026342688533,2,Benign|Infilteration,2
359952150389688199,2,Benign|Infilteration,2
361982774942876509,2,Benign|Infilteration,2
362029736882002857,2,Benign|Infilteration,2
363094584305056699,2,Benign|Infilteration,2
370487653234297030,2,Benign|Infilteration,2
370533809103257272,2,Benign|Infilteration,2
372302776260232753,2,Benign|Infilteration,2
374997061594155925,2,Benign|Infilteration,2
375811979044122436,2,Benign|Infilteration,2
377480482133985016,2,Benign|Infilteration,2
386620608103285264,2,Benign|Infilteration,2
387716912603934735,2,Benign|Infilteration,2
388448896627044505,2,Benign|Infilteration,2
389144233670415363,2,Benign|Infilteration,2
395612952401909357,2,Benign|Infilteration,2
405966899670596487,2,Benign|Infilteration,2
406862242263808762,2,Benign|Infilteration,2
408130937557953542,2,Benign|Infilteration,2
411124855823230085,2,Benign|Infilteration,2
412410059768869868,2,Benign|Infilteration,2
415580272246186949,2,Benign|Infilteration,2
419342134758984600,2,Benign|Infilteration,2
421297566530493062,2,Benign|Infilteration,2
423878626714937711,2,Benign|Infilteration,2
424018152498161461,2,Benign|Infilteration,2
425390732545604607,2,Benign|Infilteration,2
430282696469669381,2,Benign|Infilteration,2
431113260186197069,2,Benign|Infilteration,2
446537610530475093,2,Benign|Infilteration,2
448310667586992349,2,Benign|Infilteration,2
448399661767484024,2,Benign|Infilteration,2
450030296653095714,2,Benign|Infilteration,2
450056109174418229,2,Benign|Infilteration,2
455167303514468586,2,Benign|Infilteration,2
456501369822033053,2,Benign|Infilteration,2
457704183141042712,2,Benign|Infilteration,2
459607638296096082,2,Benign|Infilteration,2
460759312215948069,2,Benign|Infilteration,2
461833152192214890,2,Benign|Infilteration,2
462906365011861045,2,Benign|Infilteration,2
463022660276478235,2,Benign|Infilteration,2
466420436265953884,2,Benign|Infilteration,2
467858956471039855,2,Benign|Infilteration,2
471862933605930176,2,Benign|Infilteration,2
475846832363798312,2,Benign|Infilteration,2
476823340382210139,2,Benign|Infilteration,2
477755914775591739,2,Benign|Infilteration,2
485432806114143685,2,Benign|Infilteration,2
487267253796801996,2,Benign|Infilteration,2
488319314671850716,2,Benign|Infilteration,2
490981134556327221,2,Benign|Infilteration,2
491182832303649731,2,Benign|Infilteration,2
492117739567666972,2,Benign|Infilteration,2
494690038202795506,2,Benign|Infilteration,2
497853614836021693,2,Benign|Infilteration,2
499795347363237562,2,Benign|Infilteration,2
501384661338158411,2,Benign|Infilteration,2
503586472174687801,2,Benign|Infilteration,2
504775678323357586,2,Benign|Infilteration,2
507190780590331479,2,Benign|Infilteration,2
511027786851772032,2,Benign|Infilteration,2
513186206890269285,2,Benign|Infilteration,2
515621857850335913,2,Benign|Infilteration,2
522769935312038741,2,Benign|Infilteration,2
524161366528893539,2,Benign|Infilteration,2
524502929619442701,2,Benign|Infilteration,2
525049711096970249,2,Benign|Infilteration,2
533291107358059624,2,Benign|Infilteration,2
536336272898297324,2,Benign|Infilteration,2
542742684421716082,2,Benign|Infilteration,2
543412134559860455,2,Benign|Infilteration,2
544502944483841511,2,Benign|Infilteration,2
544955137089584189,2,Benign|Infilteration,2
545680533719408013,2,Benign|Infilteration,2
548048845122775309,2,Benign|Infilteration,2
554569730864305956,2,Benign|Infilteration,2
556514487190801345,2,Benign|Infilteration,2
560502041249887418,2,Benign|Infilteration,2
563384443417095963,2,Benign|Infilteration,2
565736280038411596,2,Benign|Infilteration,2
566640552998836960,2,Benign|Infilteration,2
567377949921876811,2,Benign|Infilteration,2
571888358353234772,2,Benign|Infilteration,2
572738541747541509,2,Benign|Infilteration,2
577358867395026635,2,Benign|Infilteration,2
579691573473872282,2,Benign|Infilteration,2
586000433734359480,2,Benign|Infilteration,2
593897353105132852,2,Benign|Infilteration,2
593987475927171320,2,Benign|Infilteration,2
596916342464330723,2,Benign|Infilteration,2
603036400287011625,2,Benign|Infilteration,2
606742764085425303,2,Benign|Infilteration,2
606946689963199435,2,Benign|Infilteration,2
610699750063635143,2,Benign|Infilteration,2
611734432495464930,2,Benign|Infilteration,2
612192961522871754,2,Benign|Infilteration,2
622719690534694598,2,Benign|Infilteration,2
623935354649381138,2,Benign|Infilteration,2
631074913667023149,2,Benign|Infilteration,2
632555185185725584,2,Benign|Infilteration,2
634367684727434218,2,Benign|Infilteration,2
636816506314577475,2,Benign|Infilteration,2
637221259151860874,2,Benign|Infilteration,2
638046510386488730,2,Benign|Infilteration,2
642288330281909169,2,Benign|Infilteration,2
645067801128999847,2,Benign|Infilteration,2
645127631535959820,2,Benign|Infilteration,2
658339693628162386,2,Benign|Infilteration,2
658725962036702298,2,Benign|Infilteration,2
660159485911409133,2,Benign|Infilteration,2
661141335744036519,2,Benign|Infilteration,2
662400547700224995,2,Benign|Infilteration,2
665094403088288650,2,Benign|Infilteration,2
668882990858196346,2,Benign|Infilteration,2
669157096863379610,2,Benign|Infilteration,2
669617253614712235,2,Benign|Infilteration,2
671653536707947992,2,Benign|Infilteration,2
673618592182592728,2,Benign|Infilteration,2
676291446934613331,2,Benign|Infilteration,2
676992630331174536,2,Benign|Infilteration,2
677652833899841004,2,Benign|Infilteration,2
680599309626668976,2,Benign|Infilteration,2
681115829901966580,2,Benign|Infilteration,2
684242075447973810,2,Benign|Infilteration,2
686618605391675662,2,Benign|Infilteration,2
693251447198024766,2,Benign|Infilteration,2
698044772858265445,2,Benign|Infilteration,2
706550195456130446,2,Benign|Infilteration,2
