label,count,pct,imbalance_vs_benign,rare_flag
Benign,13390249,82.9776,1.0,
DDOS attack-HOIC,686012,4.2511,19.52,
DDoS attacks-LOIC-HTTP,576191,3.5706,23.24,
DoS attacks-Hulk,461912,2.8624,28.99,
Bot,286191,1.7735,46.79,
FTP-BruteForce,193354,1.1982,69.25,
SSH-Bruteforce,187589,1.1625,71.38,
Infilteration,160639,0.9955,83.36,
DoS attacks-SlowHTTPTest,139890,0.8669,95.72,
DoS attacks-GoldenEye,41508,0.2572,322.59,
DoS attacks-Slowloris,10990,0.0681,1218.4,
DDOS attack-LOIC-UDP,1730,0.0107,7740.03,RARE(<5000)
Brute Force -Web,611,0.0038,21915.3,RARE(<5000)
Brute Force -XSS,230,0.0014,58218.47,RARE(<5000)
SQL Injection,87,0.0005,153910.91,RARE(<5000)
