port,canonical,count
53,Benign,4021224
443,Benign,1996388
3389,Benign,1821460
80,Benign,1690855
445,Benign,706327
80,DDOS attack-HOIC,686012
80,DDoS attacks-LOIC-HTTP,576191
80,DoS attacks-Hulk,461912
8080,Bot,281634
0,Benign,235802
21,FTP-BruteForce,193354
22,SSH-Bruteforce,187559
21,DoS attacks-SlowHTTPTest,139890
5355,Benign,50684
53,Infilteration,50320
80,DoS attacks-GoldenEye,41508
443,Infilteration,29234
3128,Benign,28012
137,Benign,22667
3389,Infilteration,13630
67,Benign,13424
123,Benign,12545
135,Benign,11582
80,DoS attacks-Slowloris,10990
22,Benign,9158
23,Benign,7276
80,Infilteration,5827
445,Infilteration,5465
500,Benign,5042
138,Benign,4966
139,Benign,2936
135,Infilteration,2577
0,Infilteration,2255
27017,Benign,2130
80,DDOS attack-LOIC-UDP,1730
49152,Benign,1689
1900,Benign,1386
30303,Benign,1003
8545,Benign,999
50010,Benign,944
22,Infilteration,939
139,Infilteration,898
52072,Benign,799
8443,Benign,625
6667,Benign,606
8080,Benign,577
2181,Benign,559
6188,Benign,550
21,Benign,523
2323,Benign,517
51877,Benign,513
51049,Benign,490
51040,Benign,478
80,Brute Force -Web,460
50389,Benign,456
50006,Benign,456
50500,Benign,452
50454,Benign,451
50624,Benign,450
49686,Benign,449
50212,Benign,448
50438,Benign,447
50488,Benign,447
50560,Benign,447
50208,Benign,446
50154,Benign,445
50158,Benign,443
50436,Benign,443
50210,Benign,443
50380,Benign,443
50220,Benign,443
50084,Benign,442
50358,Benign,442
50464,Benign,442
50418,Benign,442
50000,Benign,442
50618,Benign,442
50226,Benign,441
50300,Benign,441
50002,Benign,441
50636,Benign,441
50080,Benign,440
50434,Benign,440
50174,Benign,440
50218,Benign,439
50476,Benign,439
50608,Benign,438
50788,Benign,438
50188,Benign,438
50496,Benign,438
50318,Benign,438
50550,Benign,438
50378,Benign,438
50610,Benign,438
50274,Benign,438
49906,Benign,437
50656,Benign,437
50450,Benign,437
50662,Benign,436
50592,Benign,436
50368,Benign,435
50320,Benign,435
49706,Benign,435
50622,Benign,435
50800,Benign,434
50502,Benign,434
50486,Benign,434
50482,Benign,433
50186,Benign,433
50020,Benign,433
50372,Benign,431
50402,Benign,431
50696,Benign,431
50150,Benign,431
50588,Benign,431
50189,Benign,431
50566,Benign,431
50572,Benign,430
50336,Benign,430
50640,Benign,430
50414,Benign,430
50544,Benign,430
50254,Benign,429
50644,Benign,429
50222,Benign,429
50232,Benign,429
50412,Benign,429
50558,Benign,429
50664,Benign,428
50494,Benign,428
50548,Benign,428
50604,Benign,428
50228,Benign,428
50424,Benign,428
50646,Benign,428
50202,Benign,428
50568,Benign,427
49766,Benign,427
50474,Benign,427
50332,Benign,427
50420,Benign,427
50018,Benign,427
50028,Benign,427
50428,Benign,426
50156,Benign,426
50094,Benign,426
50370,Benign,426
50278,Benign,425
50160,Benign,425
50556,Benign,425
50024,Benign,425
50216,Benign,424
50192,Benign,424
50404,Benign,424
50616,Benign,424
50112,Benign,424
50264,Benign,424
49896,Benign,424
49868,Benign,424
49764,Benign,423
50506,Benign,423
50180,Benign,423
50187,Benign,423
50204,Benign,423
50046,Benign,423
50034,Benign,422
50152,Benign,422
49948,Benign,422
49884,Benign,422
50478,Benign,422
49816,Benign,422
50272,Benign,422
50356,Benign,422
50422,Benign,421
50198,Benign,421
50166,Benign,421
49154,Benign,421
50472,Benign,421
50682,Benign,421
50016,Benign,421
50852,Benign,421
50242,Benign,420
50634,Benign,420
50266,Benign,420
50410,Benign,420
50658,Benign,420
50680,Benign,420
50752,Benign,420
50322,Benign,420
49708,Benign,420
50878,Benign,420
49738,Benign,419
50092,Benign,419
50082,Benign,419
50162,Benign,419
50211,Benign,419
50340,Benign,419
50230,Benign,419
50674,Benign,419
50448,Benign,419
50224,Benign,419
50514,Benign,419
50360,Benign,418
49999,Benign,418
50038,Benign,418
49792,Benign,418
50068,Benign,418
50396,Benign,418
50606,Benign,418
49866,Benign,418
50316,Benign,418
50470,Benign,418
50430,Benign,418
50432,Benign,418
50416,Benign,418
50540,Benign,417
50446,Benign,417
50022,Benign,417
50480,Benign,417
50848,Benign,417
50498,Benign,417
50456,Benign,417
50088,Benign,417
50902,Benign,417
50090,Benign,417
50001,Benign,417
50546,Benign,417
50214,Benign,417
50586,Benign,417
50574,Benign,417
50570,Benign,417
50104,Benign,416
49992,Benign,416
50206,Benign,416
49894,Benign,416
50406,Benign,416
50468,Benign,416
50234,Benign,416
50508,Benign,416
50458,Benign,416
50102,Benign,416
50190,Benign,416
50536,Benign,415
50694,Benign,415
50008,Benign,415
50338,Benign,415
50490,Benign,415
50642,Benign,415
50796,Benign,415
50176,Benign,415
50110,Benign,415
50748,Benign,415
50602,Benign,415
50444,Benign,415
50724,Benign,415
50273,Benign,414
50760,Benign,414
50440,Benign,414
51052,Benign,414
50688,Benign,414
50660,Benign,414
50394,Benign,414
50122,Benign,414
50120,Benign,414
50614,Benign,413
50260,Benign,413
50850,Benign,413
50854,Benign,413
50594,Benign,413
51046,Benign,412
49840,Benign,412
49892,Benign,412
50280,Benign,412
50106,Benign,412
50590,Benign,412
50746,Benign,412
50200,Benign,412
50196,Benign,412
50792,Benign,412
50003,Benign,412
50248,Benign,412
50240,Benign,411
50132,Benign,411
50623,Benign,411
49902,Benign,411
50510,Benign,411
49994,Benign,411
49734,Benign,411
51024,Benign,411
50442,Benign,411
49758,Benign,411
50466,Benign,411
49820,Benign,411
50562,Benign,410
50350,Benign,410
50492,Benign,410
50390,Benign,410
51056,Benign,410
49830,Benign,410
49908,Benign,410
