column,parsed_rows,missing,missing_pct,distinct_raw_values,non_numeric,inf,neg,neg1_sentinel,finite_n,min,mean,std,max
Dst Port,16137183,0,0.0,,0,0,0,,16137183,0.0,8917.961,18695.9995,65535.0
Protocol,16137183,0,0.0,,0,0,0,,16137183,0.0,8.7704,4.9301,17.0
Flow Duration,16137183,0,0.0,,0,0,14,,16137183,-919011000000.0,11883905.4235,0.0,120000000.0
Tot Fwd Pkts,16137183,0,0.0,,0,0,1226,,16137183,-32748.0,5.475,213.3329,32762.0
Tot Bwd Pkts,16137183,0,0.0,,0,0,17,,16137183,-32170.0,6.2485,151.2846,31262.0
TotLen Fwd Pkts,16137183,0,0.0,,0,0,0,,16137183,0.0,978.7339,62353.199,144391846.0
TotLen Bwd Pkts,16137183,0,0.0,,0,0,0,,16137183,0.0,4759.005,235160.2103,156360426.0
Fwd Pkt Len Max,16137183,0,0.0,,0,0,0,,16137183,0.0,201.8772,304.0568,64440.0
Fwd Pkt Len Min,16137183,0,0.0,,0,0,0,,16137183,0.0,11.1382,24.285,1460.0
Fwd Pkt Len Mean,16137183,0,0.0,,0,0,0,,16137183,0.0,50.5715,60.5843,16529.3138401559
Fwd Pkt Len Std,16137183,0,0.0,,0,0,0,,16137183,0.0,71.211,116.6803,18401.5827717299
Bwd Pkt Len Max,16137183,0,0.0,,0,0,0,,16137183,0.0,352.227,498.1633,65160.0
Bwd Pkt Len Min,16137183,0,0.0,,0,0,0,,16137183,0.0,26.6349,51.0889,1460.0
Bwd Pkt Len Mean,16137183,0,0.0,,0,0,0,,16137183,0.0,113.7466,164.36,33879.28358
Bwd Pkt Len Std,16137183,0,0.0,,0,0,0,,16137183,0.0,132.3464,204.612,22448.41352658228
Flow Byts/s,16137183,0,0.0,,0,0,0,,16137183,0.0,257034.8933,3667840.8766,1806642857.14286
Flow Pkts/s,16137183,0,0.0,,0,0,14,,16137183,-0.0088953248,52296.9822,264725.0327,6000000.0
Flow IAT Mean,16137183,0,0.0,,0,0,14,,16137183,-828220000000.0,3355189.2355,223608714.1016,120000000.0
Flow IAT Std,16137183,0,0.0,,0,0,0,,16137183,0.0,1283143.4985,339114483.4313,474354474600.909
Flow IAT Max,16137183,0,0.0,,0,0,3,,16137183,-828220000000.0,6641878.1222,0.0,979781000000.0
Flow IAT Min,16137183,0,0.0,,0,0,6,,16137183,-1986377280.0,2996224.6423,0.0,2022010112.0
Fwd IAT Tot,16137183,0,0.0,,0,0,4,,16137183,-2101872896.0,11969447.151,0.0,1553149696.0
Fwd IAT Mean,16137183,0,0.0,,0,0,14,,16137183,-828220000000.0,3683026.5672,223620556.6479,120000000.0
Fwd IAT Std,16137183,0,0.0,,0,0,0,,16137183,0.0,1411290.4694,339121020.1549,474354474600.909
Fwd IAT Max,16137183,0,0.0,,0,0,6,,16137183,-1610514496.0,6012233.3556,0.0,2066358400.0
Fwd IAT Min,16137183,0,0.0,,0,0,6,,16137183,-1986377280.0,3084540.8841,0.0,2022010112.0
Bwd IAT Tot,16137183,0,0.0,,0,0,0,,16137183,0.0,7642457.9343,0.0,120000000.0
Bwd IAT Mean,16137183,0,0.0,,0,0,0,,16137183,0.0,829090.71,4352890.992,120000000.0
Bwd IAT Std,16137183,0,0.0,,0,0,0,,16137183,0.0,856225.0675,3386296.304,84837189.5109486
Bwd IAT Max,16137183,0,0.0,,0,0,0,,16137183,0.0,2628452.3453,0.0,120000000.0
Bwd IAT Min,16137183,0,0.0,,0,0,0,,16137183,0.0,292958.6136,3185572.3095,120000000.0
Fwd PSH Flags,16137183,0,0.0,,0,0,0,,16137183,0.0,0.0419,0.2005,1.0
Bwd PSH Flags,16137183,0,0.0,,0,0,0,,16137183,0.0,0.0,0.0,0.0
Fwd URG Flags,16137183,0,0.0,,0,0,0,,16137183,0.0,0.0002,0.0128,1.0
Bwd URG Flags,16137183,0,0.0,,0,0,0,,16137183,0.0,0.0,0.0,0.0
Fwd Header Len,16137183,0,0.0,,0,0,0,,16137183,0.0,258.8323,12299.8402,2477032.0
Bwd Header Len,16137183,0,0.0,,0,0,0,,16137183,0.0,133.8813,3275.1549,2462372.0
Fwd Pkts/s,16137183,0,0.0,,0,0,0,,16137183,0.0,36890.1335,213937.3077,6000000.0
Bwd Pkts/s,16137183,0,0.0,,0,0,0,,16137183,0.0,15406.8486,92686.1556,2000000.0
Pkt Len Min,16137183,0,0.0,,0,0,0,,16137183,0.0,11.0071,22.6706,1460.0
Pkt Len Max,16137183,0,0.0,,0,0,0,,16137183,0.0,391.5803,514.8572,65160.0
Pkt Len Mean,16137183,0,0.0,,0,0,0,,16137183,0.0,78.0365,103.8644,17344.98473
Pkt Len Std,16137183,0,0.0,,0,0,0,,16137183,0.0,122.1455,162.7699,22788.28621
Pkt Len Var,16137183,0,0.0,,0,0,0,,16137183,0.0,41413.5333,213584.6882,519000000.0
FIN Flag Cnt,16137183,0,0.0,,0,0,0,,16137183,0.0,0.0044,0.0659,1.0
SYN Flag Cnt,16137183,0,0.0,,0,0,0,,16137183,0.0,0.0419,0.2005,1.0
RST Flag Cnt,16137183,0,0.0,,0,0,0,,16137183,0.0,0.1885,0.3911,1.0
PSH Flag Cnt,16137183,0,0.0,,0,0,0,,16137183,0.0,0.3944,0.4887,1.0
ACK Flag Cnt,16137183,0,0.0,,0,0,0,,16137183,0.0,0.3281,0.4695,1.0
URG Flag Cnt,16137183,0,0.0,,0,0,0,,16137183,0.0,0.0419,0.2005,1.0
CWE Flag Count,16137183,0,0.0,,0,0,0,,16137183,0.0,0.0002,0.0128,1.0
ECE Flag Cnt,16137183,0,0.0,,0,0,0,,16137183,0.0,0.1885,0.3911,1.0
Down/Up Ratio,16137183,0,0.0,,0,0,0,,16137183,0.0,0.4993,0.9989,311.0
Pkt Size Avg,16137183,0,0.0,,0,0,0,,16137183,0.0,89.9962,108.3678,17478.408
Fwd Seg Size Avg,16137183,0,0.0,,0,0,0,,16137183,0.0,50.5715,60.5843,16529.314
Bwd Seg Size Avg,16137183,0,0.0,,0,0,0,,16137183,0.0,113.7466,164.36,33879.285
Fwd Byts/b Avg,16137183,0,0.0,,0,0,0,,16137183,0.0,0.0,0.0,0.0
Fwd Pkts/b Avg,16137183,0,0.0,,0,0,0,,16137183,0.0,0.0,0.0,0.0
Fwd Blk Rate Avg,16137183,0,0.0,,0,0,0,,16137183,0.0,0.0,0.0,0.0
Bwd Byts/b Avg,16137183,0,0.0,,0,0,0,,16137183,0.0,0.0,0.0,0.0
Bwd Pkts/b Avg,16137183,0,0.0,,0,0,0,,16137183,0.0,0.0,0.0,0.0
