port,label,count
53,Benign,4021224
443,Benign,1996388
3389,Benign,1821460
80,Benign,1690855
445,Benign,706327
80,DDOS attack-HOIC,686012
80,DDoS attacks-LOIC-HTTP,576191
80,DoS attacks-Hulk,461912
8080,Bot,281634
0,Benign,235802
21,FTP-BruteForce,193354
22,SSH-Bruteforce,187559
21,DoS attacks-SlowHTTPTest,139890
5355,Benign,50684
53,Infilteration,50320
80,DoS attacks-GoldenEye,41508
443,Infilteration,29234
3128,Benign,28012
137,Benign,22667
3389,Infilteration,13630
67,Benign,13424
123,Benign,12545
135,Benign,11582
80,DoS attacks-Slowloris,10990
22,Benign,9158
23,Benign,7276
80,Infilteration,5827
445,Infilteration,5465
500,Benign,5042
138,Benign,4966
139,Benign,2936
135,Infilteration,2577
0,Infilteration,2255
27017,Benign,2130
80,DDOS attack-LOIC-UDP,1730
49152,Benign,1689
1900,Benign,1386
30303,Benign,1003
8545,Benign,999
50010,Benign,944
22,Infilteration,939
139,Infilteration,898
52072,Benign,799
8443,Benign,625
6667,Benign,606
8080,Benign,577
2181,Benign,559
6188,Benign,550
21,Benign,523
2323,Benign,517
51877,Benign,513
51049,Benign,490
51040,Benign,478
80,Brute Force -Web,460
50389,Benign,456
50006,Benign,456
50500,Benign,452
50454,Benign,451
50624,Benign,450
49686,Benign,449
50212,Benign,448
50560,Benign,447
50488,Benign,447
50438,Benign,447
50208,Benign,446
50154,Benign,445
50220,Benign,443
50210,Benign,443
50380,Benign,443
50158,Benign,443
50436,Benign,443
50358,Benign,442
50000,Benign,442
50464,Benign,442
50084,Benign,442
50418,Benign,442
50618,Benign,442
50300,Benign,441
50226,Benign,441
50002,Benign,441
50636,Benign,441
50174,Benign,440
50434,Benign,440
50080,Benign,440
50476,Benign,439
50218,Benign,439
50550,Benign,438
50378,Benign,438
50788,Benign,438
50318,Benign,438
50496,Benign,438
50274,Benign,438
50188,Benign,438
50608,Benign,438
50610,Benign,438
49906,Benign,437
50656,Benign,437
50450,Benign,437
50592,Benign,436
50662,Benign,436
49706,Benign,435
50320,Benign,435
50368,Benign,435
50622,Benign,435
50800,Benign,434
50486,Benign,434
50502,Benign,434
50482,Benign,433
50020,Benign,433
50186,Benign,433
50150,Benign,431
50372,Benign,431
50402,Benign,431
50566,Benign,431
50696,Benign,431
50588,Benign,431
50189,Benign,431
50414,Benign,430
50544,Benign,430
50336,Benign,430
50640,Benign,430
50572,Benign,430
50558,Benign,429
50254,Benign,429
50412,Benign,429
50644,Benign,429
50232,Benign,429
50222,Benign,429
50424,Benign,428
50202,Benign,428
50548,Benign,428
50494,Benign,428
50604,Benign,428
50228,Benign,428
50646,Benign,428
50664,Benign,428
50420,Benign,427
50332,Benign,427
50028,Benign,427
50568,Benign,427
50474,Benign,427
49766,Benign,427
50018,Benign,427
50156,Benign,426
50370,Benign,426
50094,Benign,426
50428,Benign,426
50556,Benign,425
50160,Benign,425
50024,Benign,425
50278,Benign,425
50616,Benign,424
50404,Benign,424
50216,Benign,424
50112,Benign,424
50264,Benign,424
50192,Benign,424
49896,Benign,424
49868,Benign,424
49764,Benign,423
50204,Benign,423
50506,Benign,423
50180,Benign,423
50187,Benign,423
50046,Benign,423
50478,Benign,422
50356,Benign,422
50152,Benign,422
50272,Benign,422
50034,Benign,422
49948,Benign,422
49884,Benign,422
49816,Benign,422
50472,Benign,421
50422,Benign,421
50166,Benign,421
50852,Benign,421
50682,Benign,421
50016,Benign,421
50198,Benign,421
49154,Benign,421
50322,Benign,420
49708,Benign,420
50752,Benign,420
50878,Benign,420
50680,Benign,420
50658,Benign,420
50410,Benign,420
50242,Benign,420
50266,Benign,420
50634,Benign,420
49738,Benign,419
50448,Benign,419
50082,Benign,419
50211,Benign,419
50674,Benign,419
50162,Benign,419
50340,Benign,419
50230,Benign,419
50092,Benign,419
50224,Benign,419
50514,Benign,419
50416,Benign,418
50470,Benign,418
50038,Benign,418
50396,Benign,418
49999,Benign,418
50316,Benign,418
49866,Benign,418
50360,Benign,418
50430,Benign,418
50432,Benign,418
50606,Benign,418
49792,Benign,418
50068,Benign,418
50214,Benign,417
50546,Benign,417
50456,Benign,417
50446,Benign,417
50848,Benign,417
50902,Benign,417
50540,Benign,417
50570,Benign,417
50001,Benign,417
50480,Benign,417
50022,Benign,417
50090,Benign,417
50586,Benign,417
50574,Benign,417
50088,Benign,417
50498,Benign,417
49894,Benign,416
50406,Benign,416
50468,Benign,416
49992,Benign,416
50234,Benign,416
50458,Benign,416
50508,Benign,416
50102,Benign,416
50104,Benign,416
50206,Benign,416
50190,Benign,416
50444,Benign,415
50536,Benign,415
50796,Benign,415
50724,Benign,415
50748,Benign,415
50176,Benign,415
50490,Benign,415
50642,Benign,415
50602,Benign,415
50338,Benign,415
50110,Benign,415
50694,Benign,415
50008,Benign,415
50440,Benign,414
50394,Benign,414
51052,Benign,414
50120,Benign,414
50760,Benign,414
50660,Benign,414
50273,Benign,414
50688,Benign,414
50122,Benign,414
50854,Benign,413
50260,Benign,413
50594,Benign,413
50614,Benign,413
50850,Benign,413
49892,Benign,412
50590,Benign,412
50280,Benign,412
50792,Benign,412
50746,Benign,412
50248,Benign,412
50106,Benign,412
49840,Benign,412
50200,Benign,412
50003,Benign,412
50196,Benign,412
51046,Benign,412
49734,Benign,411
51024,Benign,411
49902,Benign,411
50132,Benign,411
49994,Benign,411
50442,Benign,411
50240,Benign,411
50466,Benign,411
50623,Benign,411
49820,Benign,411
49758,Benign,411
50510,Benign,411
50562,Benign,410
51056,Benign,410
49908,Benign,410
50390,Benign,410
50492,Benign,410
49830,Benign,410
50350,Benign,410
49858,Benign,410
50050,Benign,410
50626,Benign,410
50628,Benign,410
50962,Benign,410
50270,Benign,410
50262,Benign,410
50134,Benign,410
49972,Benign,410
50197,Benign,410
51064,Benign,410
50004,Benign,410
49900,Benign,409
50542,Benign,409
49756,Benign,409
50153,Benign,409
50836,Benign,409
51060,Benign,409
50392,Benign,409
50256,Benign,409
50451,Benign,409
50070,Benign,409
50526,Benign,409
50532,Benign,409
50620,Benign,408
49688,Benign,408
50382,Benign,408
50552,Benign,408
50504,Benign,408
50400,Benign,408
50354,Benign,408
50426,Benign,408
50452,Benign,408
50762,Benign,408
50398,Benign,408
50066,Benign,408
50352,Benign,408
49834,Benign,408
50512,Benign,408
49768,Benign,407
49910,Benign,407
50366,Benign,407
50462,Benign,407
50750,Benign,407
50290,Benign,407
50334,Benign,407
49710,Benign,407
51074,Benign,407
50074,Benign,407
50856,Benign,407
49996,Benign,407
49904,Benign,407
50096,Benign,407
50672,Benign,407
50710,Benign,407
49808,Benign,407
50712,Benign,407
50704,Benign,407
50408,Benign,406
49962,Benign,406
50130,Benign,406
50014,Benign,406
50064,Benign,406
50528,Benign,406
49730,Benign,406
51103,Benign,406
50276,Benign,406
50194,Benign,406
50578,Benign,405
50282,Benign,405
50364,Benign,405
51054,Benign,405
49901,Benign,405
50956,Benign,405
50257,Benign,405
50738,Benign,405
50033,Benign,405
50124,Benign,405
51008,Benign,405
50086,Benign,405
50026,Benign,405
50524,Benign,405
50146,Benign,405
49754,Benign,405
50615,Benign,405
50866,Benign,404
51156,Benign,404
49828,Benign,404
50310,Benign,404
50740,Benign,404
49832,Benign,404
50078,Benign,404
50564,Benign,404
50968,Benign,404
49842,Benign,404
50840,Benign,404
50182,Benign,404
50600,Benign,404
50582,Benign,404
50268,Benign,404
50580,Benign,404
49882,Benign,404
50030,Benign,404
50554,Benign,403
51030,Benign,403
49998,Benign,403
49966,Benign,403
50706,Benign,403
50386,Benign,403
50708,Benign,403
49848,Benign,403
50060,Benign,403
50199,Benign,403
50846,Benign,402
49907,Benign,402
50342,Benign,402
50678,Benign,402
50872,Benign,402
50362,Benign,402
50312,Benign,402
50676,Benign,402
50236,Benign,402
50108,Benign,402
50429,Benign,402
50638,Benign,402
50032,Benign,402
49890,Benign,401
50374,Benign,401
51112,Benign,401
50445,Benign,401
49712,Benign,401
50666,Benign,401
50780,Benign,401
50399,Benign,401
50477,Benign,401
50100,Benign,401
50619,Benign,401
50520,Benign,401
50062,Benign,401
50215,Benign,401
50648,Benign,401
50140,Benign,401
49750,Benign,401
50288,Benign,401
50607,Benign,401
49752,Benign,401
50966,Benign,401
49912,Benign,400
50388,Benign,400
51086,Benign,400
50584,Benign,400
49684,Benign,400
49814,Benign,400
50161,Benign,400
50238,Benign,400
51122,Benign,400
50087,Benign,400
50516,Benign,400
50575,Benign,400
50098,Benign,400
49722,Benign,400
50021,Benign,400
50756,Benign,400
50702,Benign,400
49772,Benign,400
50185,Benign,400
49860,Benign,399
51026,Benign,399
50460,Benign,399
49928,Benign,399
49742,Benign,399
50044,Benign,399
49956,Benign,399
50093,Benign,399
50219,Benign,399
50025,Benign,399
49872,Benign,399
50072,Benign,399
50736,Benign,399
50726,Benign,399
50890,Benign,399
50054,Benign,399
49692,Benign,398
50545,Benign,398
50355,Benign,398
50306,Benign,398
50469,Benign,398
49804,Benign,398
50302,Benign,398
50547,Benign,398
50722,Benign,398
50217,Benign,398
50231,Benign,398
50099,Benign,398
51010,Benign,398
51098,Benign,398
50832,Benign,398
50284,Benign,397
50298,Benign,397
50668,Benign,397
