class,feature,modal_value,modal_share,benign_share,separability,n_rows
Benign,Flow Duration,1.0,0.009284460993820109,0.009284460993820109,0.009198259777874342,10564749
Bot,Flow Duration,10785.0,0.0006434427647282665,7.572352168518154e-07,0.000643442277490745,144535
DDOS attack-HOIC,Flow Duration,1235.0,0.00043246287607927146,0.00011131357687721686,0.0004324147370896685,198861
DDoS attacks-LOIC-HTTP,Flow Duration,1098993.0,1.043238769534646e-05,9.465440210647692e-08,1.043238670787504e-05,575132
DoS attacks-Hulk,Flow Duration,50505.0,6.887099773414417e-05,7.572352168518154e-07,6.887094558259926e-05,145199
SSH-Bruteforce,Flow Duration,378292.0,0.00010632868322558693,9.465440210647692e-08,0.000106328673161109,94048
Benign,Flow Pkts/s,2000000.0,0.008070423632402436,0.008070423632402436,0.008005291894795997,10564749
Bot,Flow Pkts/s,649.0496059,0.0006434427647282665,9.465440210647692e-08,0.0006434427038235764,144535
DDOS attack-HOIC,Flow Pkts/s,5668.016194,0.00042743423798532646,5.7076604470205586e-05,0.00042740984149038796,198861
DDoS attacks-LOIC-HTTP,Flow Pkts/s,6.369467321,1.043238769534646e-05,0.0,1.043238769534646e-05,575132
DoS attacks-Hulk,Flow Pkts/s,54.41288497,6.198389796072976e-05,9.465440210647692e-08,6.198389209368096e-05,145199
SSH-Bruteforce,Flow Pkts/s,112.7904353711,9.569581490302825e-05,1.2305072273842001e-06,9.569569714863638e-05,94048
Benign,Flow IAT Mean,1.0,0.008715304073953862,0.008715304073953862,0.008639347548852386,10564749
Bot,Flow IAT Mean,1797.5,0.0006434427647282665,4.7327201053238465e-07,0.0006434424602048156,144535
DDOS attack-HOIC,Flow IAT Mean,205.8333333,0.00042743423798532646,5.7076604470205586e-05,0.00042740984149038796,198861
DDoS attacks-LOIC-HTTP,Flow IAT Mean,12000000.0,0.0017422087451228587,7.79005729336305e-05,0.0017420730260634435,575132
DoS attacks-Hulk,Flow IAT Mean,27567.0,6.198389796072976e-05,1.2305072273842001e-06,6.198382168909534e-05,145199
SSH-Bruteforce,Flow IAT Mean,8812.8837209302,7.443007825791086e-05,0.0,7.443007825791086e-05,94048
Benign,Flow IAT Max,1.0,0.009501030265839728,0.009501030265839728,0.009410760689727325,10564749
Bot,Flow IAT Max,9585.0,0.0006296052859169059,5.679264126388616e-07,0.0006296049283474345,144535
DDOS attack-HOIC,Flow IAT Max,720.0,0.0005179497236763367,0.00011301735611513345,0.0005178911863679662,198861
DDoS attacks-LOIC-HTTP,Flow IAT Max,12000000.0,0.0017422087451228587,8.604085151478752e-05,0.0017420588439989119,575132
DoS attacks-Hulk,Flow IAT Max,64500000.0,0.0016460168458460457,8.670343232953286e-05,0.0016458741305358387,145199
SSH-Bruteforce,Flow IAT Max,43671.0,8.506294658046955e-05,1.325161629490677e-06,8.506283385831664e-05,94048
Benign,Flow IAT Std,0.0,0.30400845301672574,0.30400845301672574,0.211587313511103,10564749
Bot,Flow IAT Std,0.0,0.0087383678693742,0.30400845301672574,0.006081830171514688,144535
DDOS attack-HOIC,Flow IAT Std,0.0,0.17656051211650348,0.30400845301672574,0.12288462396412439,198861
DDoS attacks-LOIC-HTTP,Flow IAT Std,0.0,0.49600961170652996,0.30400845301672574,0.34521849697020096,575132
DoS attacks-Hulk,Flow IAT Std,0.0,0.40008540003719034,0.30400845301672574,0.27845605649730626,145199
SSH-Bruteforce,Flow IAT Std,0.0,0.0005848077577407281,0.30400845301672574,0.00040702125599778924,94048
Benign,Tot Fwd Pkts,2.0,0.2094038391257568,0.2094038391257568,0.16555387128515098,10564749
Bot,Tot Fwd Pkts,3.0,0.954578475801709,0.12919634910398722,0.8312504217948793,144535
DDOS attack-HOIC,Tot Fwd Pkts,3.0,0.8234394878834965,0.12919634910398722,0.7170541123408918,198861
DDoS attacks-LOIC-HTTP,Tot Fwd Pkts,3.0,0.5030062663875423,0.12919634910398722,0.4380196931938442,575132
DoS attacks-Hulk,Tot Fwd Pkts,3.0,0.5176826286682416,0.12919634910398722,0.45079992304974964,145199
SSH-Bruteforce,Tot Fwd Pkts,22.0,0.6517522966995577,0.0029798152327140002,0.6498101952778961,94048
Benign,TotLen Fwd Pkts,0.0,0.22969878413580863,0.22969878413580863,0.17693725270233981,10564749
Bot,TotLen Fwd Pkts,326.0,0.9409347216937074,9.862988699494896e-05,0.9408419174084371,144535
DDOS attack-HOIC,TotLen Fwd Pkts,0.0,0.17656051211650348,0.22969878413580863,0.13600477715694692,198861
DDoS attacks-LOIC-HTTP,TotLen Fwd Pkts,20.0,0.502995833999847,1.3630233903332677e-05,0.5029889780489772,575132
DoS attacks-Hulk,TotLen Fwd Pkts,0.0,0.8240483749888085,0.22969878413580863,0.6347654651847902,145199
SSH-Bruteforce,TotLen Fwd Pkts,1912.0,0.324185522286492,2.621926938349411e-05,0.32417702237895296,94048
Benign,Flow Byts/s,0.0,0.22927189278230842,0.22927189278230842,0.1767062919623261,10564749
Bot,Flow Byts/s,0.0,0.011118414224928218,0.22927189278230842,0.008569274350841182,144535
DDOS attack-HOIC,Flow Byts/s,0.0,0.17656051211650348,0.22927189278230842,0.13608014931293902,198861
DDoS attacks-LOIC-HTTP,Flow Byts/s,0.0,0.4960217828255079,0.22927189278230842,0.3822979298158486,575132
DoS attacks-Hulk,Flow Byts/s,0.0,0.8240483749888085,0.22927189278230842,0.6351172443109389,145199
SSH-Bruteforce,Flow Byts/s,0.0,0.0024455597141884995,0.22927189278230842,0.001884861609604341,94048
Benign,Down/Up Ratio,0.0,0.5756842874355084,0.5756842874355084,0.24427188863537935,10564749
Bot,Down/Up Ratio,1.0,0.9540664890856886,0.4134385966008279,0.5596185787742225,144535
DDOS attack-HOIC,Down/Up Ratio,1.0,0.8234394878834965,0.4134385966008279,0.48299782162723937,198861
DDoS attacks-LOIC-HTTP,Down/Up Ratio,1.0,0.502995833999847,0.4134385966008279,0.29503794229488733,575132
DoS attacks-Hulk,Down/Up Ratio,0.0,0.8330773627917548,0.5756842874355084,0.35348781481433095,145199
SSH-Bruteforce,Down/Up Ratio,1.0,0.5283897584212317,0.4134385966008279,0.30993303824130725,94048
Benign,Pkt Len Mean,0.0,0.22927189278230842,0.22927189278230842,0.1767062919623261,10564749
Bot,Pkt Len Mean,56.875,0.9614211090739267,1.419816031597154e-06,0.9614197440328229,144535
DDOS attack-HOIC,Pkt Len Mean,0.0,0.17656051211650348,0.22927189278230842,0.13608014931293902,198861
DDoS attacks-LOIC-HTTP,Pkt Len Mean,123.0,0.502995833999847,3.5590055192035326e-05,0.5029779323503536,575132
DoS attacks-Hulk,Pkt Len Mean,0.0,0.8240483749888085,0.22927189278230842,0.6351172443109389,145199
SSH-Bruteforce,Pkt Len Mean,101.7111111111,0.17518713848247702,6.531153745346908e-06,0.1751859943083414,94048
Benign,Pkt Len Std,0.0,0.23810835449095857,0.23810835449095857,0.1814127660125666,10564749
Bot,Pkt Len Std,115.4066568,0.9614211090739267,0.0,0.9614211090739267,144535
DDOS attack-HOIC,Pkt Len Std,0.0,0.17656051211650348,0.23810835449095857,0.1345199791083619,198861
DDoS attacks-LOIC-HTTP,Pkt Len Std,339.8873763,0.502995833999847,3.6915216821526e-06,0.5029939771798199,575132
DoS attacks-Hulk,Pkt Len Std,0.0,0.8240483749888085,0.23810835449095857,0.6278355723992749,145199
SSH-Bruteforce,Pkt Len Std,203.7371995112,0.17518713848247702,6.531153745346908e-06,0.1751859943083414,94048
Benign,Pkt Len Max,0.0,0.22927189278230842,0.22927189278230842,0.1767062919623261,10564749
Bot,Pkt Len Max,326.0,0.9689556162867126,6.587946386610794e-05,0.9688917820102015,144535
DDOS attack-HOIC,Pkt Len Max,935.0,0.8234394878834965,0.07580710152224156,0.7610169270280897,198861
DDoS attacks-LOIC-HTTP,Pkt Len Max,964.0,0.502995833999847,8.329587385369969e-06,0.5029916442520933,575132
DoS attacks-Hulk,Pkt Len Max,0.0,0.8240483749888085,0.22927189278230842,0.6351172443109389,145199
SSH-Bruteforce,Pkt Len Max,976.0,0.9975544402858115,0.00033166902498109514,0.9972235823772364,94048
Benign,Pkt Size Avg,0.0,0.22927189278230842,0.22927189278230842,0.1767062919623261,10564749
Bot,Pkt Size Avg,65.0,0.9614211090739267,0.0006844459816319347,0.9607630682591649,144535
DDOS attack-HOIC,Pkt Size Avg,0.0,0.17656051211650348,0.22927189278230842,0.13608014931293902,198861
DDoS attacks-LOIC-HTTP,Pkt Size Avg,140.57143,0.502995833999847,6.436499343240431e-06,0.5029925964674918,575132
DoS attacks-Hulk,Pkt Size Avg,0.0,0.8240483749888085,0.22927189278230842,0.6351172443109389,145199
SSH-Bruteforce,Pkt Size Avg,104.02273,0.17518713848247702,6.531153745346908e-06,0.1751859943083414,94048
Benign,Fwd Pkt Len Max,0.0,0.22969878413580863,0.22969878413580863,0.17693725270233981,10564749
Bot,Fwd Pkt Len Max,326.0,0.9409347216937074,0.00013138031012378996,0.940811101398165,144535
DDOS attack-HOIC,Fwd Pkt Len Max,0.0,0.17656051211650348,0.22969878413580863,0.13600477715694692,198861
DDoS attacks-LOIC-HTTP,Fwd Pkt Len Max,20.0,0.502995833999847,4.373033377319234e-05,0.5029738378241397,575132
DoS attacks-Hulk,Fwd Pkt Len Max,0.0,0.8240483749888085,0.22969878413580863,0.6347654651847902,145199
SSH-Bruteforce,Fwd Pkt Len Max,640.0,0.9975544402858115,3.7104525625738954e-05,0.9975174265015189,94048
Benign,Fwd Pkt Len Mean,0.0,0.22969878413580863,0.22969878413580863,0.17693725270233981,10564749
Bot,Fwd Pkt Len Mean,108.6666667,0.9409347216937074,3.786176084259077e-07,0.9409343654392535,144535
DDOS attack-HOIC,Fwd Pkt Len Mean,0.0,0.17656051211650348,0.22969878413580863,0.13600477715694692,198861
DDoS attacks-LOIC-HTTP,Fwd Pkt Len Mean,6.666666667,0.502995833999847,1.2305072273842001e-06,0.502995215059838,575132
DoS attacks-Hulk,Fwd Pkt Len Mean,0.0,0.8240483749888085,0.22969878413580863,0.6347654651847902,145199
SSH-Bruteforce,Fwd Pkt Len Mean,86.9090909091,0.2121363559033685,9.465440210647692e-08,0.21213633582372857,94048
Benign,Bwd Pkt Len Max,0.0,0.299720324638096,0.299720324638096,0.20988805163693036,10564749
Bot,Bwd Pkt Len Max,112.0,0.9524820977617878,0.0016467972878484855,0.9509135528264695,144535
DDOS attack-HOIC,Bwd Pkt Len Max,935.0,0.8234394878834965,1.325161629490677e-05,0.823428575979361,198861
DDoS attacks-LOIC-HTTP,Bwd Pkt Len Max,964.0,0.502995833999847,3.2182496716202156e-06,0.5029942152336694,575132
DoS attacks-Hulk,Bwd Pkt Len Max,0.0,0.8240483749888085,0.299720324638096,0.5770643285196674,145199
SSH-Bruteforce,Bwd Pkt Len Max,976.0,0.9975544402858115,0.0002957003521806339,0.9972594630864997,94048
Benign,Bwd Pkt Len Mean,0.0,0.299720324638096,0.299720324638096,0.20988805163693036,10564749
Bot,Bwd Pkt Len Mean,32.25,0.9468156501885356,1.0411984231712461e-06,0.9468146643655736,144535
DDOS attack-HOIC,Bwd Pkt Len Mean,233.75,0.8234394878834965,3.786176084259077e-07,0.823439176114807,198861
DDoS attacks-LOIC-HTTP,Bwd Pkt Len Mean,241.0,0.502995833999847,0.00011670887779728605,0.5029371299205242,575132
DoS attacks-Hulk,Bwd Pkt Len Mean,0.0,0.8240483749888085,0.299720324638096,0.5770643285196674,145199
SSH-Bruteforce,Bwd Pkt Len Mean,121.1363636364,0.6245002551888398,0.0,0.6245002551888398,94048
Benign,Fwd Header Len,40.0,0.13126994309093382,0.13126994309093382,0.11403814513183681,10564749
Bot,Fwd Header Len,72.0,0.9543916698377556,0.06682827959282327,0.8906113164847766,144535
DDOS attack-HOIC,Fwd Header Len,72.0,0.8234394878834965,0.06682827959282327,0.7684104435594471,198861
DDoS attacks-LOIC-HTTP,Fwd Header Len,72.0,0.5030062663875423,0.06682827959282327,0.4693912229804535,575132
DoS attacks-Hulk,Fwd Header Len,96.0,0.4239629749516181,9.370785808541216e-05,0.42392324628932787,145199
SSH-Bruteforce,Fwd Header Len,712.0,0.6517522966995577,0.00023360706439878507,0.6516000427588106,94048
Benign,Fwd Seg Size Min,20.0,0.722306511967298,0.722306511967298,0.2005798147369336,10564749
Bot,Fwd Seg Size Min,20.0,0.9980350780087868,0.722306511967298,0.2771478419912498,144535
DDOS attack-HOIC,Fwd Seg Size Min,20.0,1.0,0.722306511967298,0.277693488032702,198861
DDoS attacks-LOIC-HTTP,Fwd Seg Size Min,20.0,0.9990176168253548,0.722306511967298,0.27742068662235014,575132
DoS attacks-Hulk,Fwd Seg Size Min,32.0,0.9912740445870839,0.04540779908732332,0.9462624719299952,145199
SSH-Bruteforce,Fwd Seg Size Min,32.0,0.9999255699217421,0.04540779908732332,0.9545211505404584,94048
Benign,Fwd Act Data Pkts,0.0,0.37738227382401607,0.37738227382401607,0.23496489322743144,10564749
Bot,Fwd Act Data Pkts,1.0,0.9543916698377556,0.25514378051007175,0.7108845711080304,144535
DDOS attack-HOIC,Fwd Act Data Pkts,1.0,0.8234394878834965,0.25514378051007175,0.6133440239236237,198861
DDoS attacks-LOIC-HTTP,Fwd Act Data Pkts,1.0,0.502995833999847,0.25514378051007175,0.37465957533230954,575132
DoS attacks-Hulk,Fwd Act Data Pkts,0.0,0.8240483749888085,0.37738227382401607,0.5130671254945465,145199
SSH-Bruteforce,Fwd Act Data Pkts,16.0,0.997448111602586,0.0025613481210012656,0.9948932997561364,94048
Benign,Fwd IAT Std,0.0,0.3927632355487102,0.3927632355487102,0.23850027635001858,10564749
Bot,Fwd IAT Std,0.0,0.013892828726606013,0.3927632355487102,0.008436236365020168,144535
DDOS attack-HOIC,Fwd IAT Std,0.0,0.176605769859349,0.3927632355487102,0.1072415162728202,198861
DDoS attacks-LOIC-HTTP,Fwd IAT Std,0.0,0.4960165666316602,0.3927632355487102,0.30119949503564697,575132
DoS attacks-Hulk,Fwd IAT Std,0.0,0.4000991742367372,0.3927632355487102,0.24295492802314914,145199
SSH-Bruteforce,Fwd IAT Std,0.0,0.0024455597141884995,0.3927632355487102,0.0014850337681162455,94048
Benign,Bwd IAT Mean,0.0,0.4236389335894303,0.4236389335894303,0.24416898753664057,10564749
Bot,Bwd IAT Mean,0.0,0.01093852700038053,0.4236389335894303,0.006304541086900133,144535
DDOS attack-HOIC,Bwd IAT Mean,0.0,0.17656051211650348,0.4236389335894303,0.10176260504946426,198861
DDoS attacks-LOIC-HTTP,Bwd IAT Mean,0.0,0.497004166000153,0.4236389335894303,0.28645385112634403,575132
DoS attacks-Hulk,Bwd IAT Mean,0.0,0.8240483749888085,0.4236389335894303,0.4749494001824467,145199
SSH-Bruteforce,Bwd IAT Mean,0.0,0.0024455597141884995,0.4236389335894303,0.0014095254048404116,94048
Benign,Bwd IAT Tot,0.0,0.4236389335894303,0.4236389335894303,0.24416898753664057,10564749
Bot,Bwd IAT Tot,0.0,0.01093852700038053,0.4236389335894303,0.006304541086900133,144535
DDOS attack-HOIC,Bwd IAT Tot,0.0,0.17656051211650348,0.4236389335894303,0.10176260504946426,198861
DDoS attacks-LOIC-HTTP,Bwd IAT Tot,0.0,0.497004166000153,0.4236389335894303,0.28645385112634403,575132
DoS attacks-Hulk,Bwd IAT Tot,0.0,0.8240483749888085,0.4236389335894303,0.4749494001824467,145199
SSH-Bruteforce,Bwd IAT Tot,0.0,0.0024455597141884995,0.4236389335894303,0.0014095254048404116,94048
Benign,SYN Flag Cnt,0.0,0.9513374146418434,0.9513374146418434,0.04629453814441672,10564749
Bot,SYN Flag Cnt,0.0,0.9999792437817829,0.9513374146418434,0.048661575306915894,144535
DDOS attack-HOIC,SYN Flag Cnt,0.0,1.0,0.9513374146418434,0.048662585358156596,198861
DDoS attacks-LOIC-HTTP,SYN Flag Cnt,0.0,1.0,0.9513374146418434,0.048662585358156596,575132
DoS attacks-Hulk,SYN Flag Cnt,0.0,1.0,0.9513374146418434,0.048662585358156596,145199
SSH-Bruteforce,SYN Flag Cnt,0.0,1.0,0.9513374146418434,0.048662585358156596,94048
Benign,RST Flag Cnt,0.0,0.7716066893780439,0.7716066893780439,0.1762298062850988,10564749
Bot,RST Flag Cnt,1.0,0.9894558411457433,0.22839331062195609,0.7634707458722346,144535
DDOS attack-HOIC,RST Flag Cnt,1.0,0.8234394878834965,0.22839331062195609,0.6353714171489366,198861
DDoS attacks-LOIC-HTTP,RST Flag Cnt,1.0,0.502995833999847,0.22839331062195609,0.3881149502435701,575132
DoS attacks-Hulk,RST Flag Cnt,0.0,1.0,0.7716066893780439,0.2283933106219561,145199
SSH-Bruteforce,RST Flag Cnt,0.0,1.0,0.7716066893780439,0.2283933106219561,94048
Benign,PSH Flag Cnt,0.0,0.5111222235379184,0.5111222235379184,0.24987629614357257,10564749
Bot,PSH Flag Cnt,1.0,0.9894558411457433,0.4888777764620816,0.5057328696189938,144535
DDOS attack-HOIC,PSH Flag Cnt,1.0,0.8234394878834965,0.4888777764620816,0.4208782219959376,198861
DDoS attacks-LOIC-HTTP,PSH Flag Cnt,1.0,0.502995833999847,0.4888777764620816,0.25709234910431156,575132
DoS attacks-Hulk,PSH Flag Cnt,0.0,0.9027816995984821,0.5111222235379184,0.4413499099303649,145199
SSH-Bruteforce,PSH Flag Cnt,1.0,0.9976288703640694,0.4888777764620816,0.509910286486105,94048
Benign,ACK Flag Cnt,0.0,0.7157309653073632,0.7157309653073632,0.20346015060755324,10564749
Bot,ACK Flag Cnt,0.0,0.9912408759124087,0.7157309653073632,0.2817790869435042,144535
DDOS attack-HOIC,ACK Flag Cnt,0.0,0.8234394878834965,0.7157309653073632,0.2340783483484407,198861
DDoS attacks-LOIC-HTTP,ACK Flag Cnt,0.0,0.5039782171744921,0.7157309653073632,0.14326540130230891,575132
DoS attacks-Hulk,ACK Flag Cnt,1.0,0.894055744185566,0.2842690346926368,0.639903380824528,145199
SSH-Bruteforce,ACK Flag Cnt,0.0,0.9976288703640694,0.7157309653073632,0.2835949959598997,94048
Benign,Fwd PSH Flags,0.0,0.9513374146418434,0.9513374146418434,0.04629453814441672,10564749
